time x y theta
1739424888074713929 10.966282844543457 75.55328369140625 -1.6394755840301514
1739424888135035295 10.96626091003418 75.55315399169922 -1.6394997835159302
1739424888195987484 10.966217041015625 75.55323028564453 -1.639729380607605
1739424888256397359 10.976922035217285 75.5641860961914 -1.6486749649047852
1739424888316718117 10.974666595458984 75.56664276123047 -1.6584018468856812
1739424888377103736 10.973864555358887 75.56605529785156 -1.653002142906189
1739424888437711715 10.973187446594238 75.5637435913086 -1.6527167558670044
1739424888498005050 10.972026824951172 75.56178283691406 -1.6878775358200073
1739424888558395949 10.971667289733887 75.55963134765625 -1.746321439743042
1739424888618677476 10.971457481384277 75.55699157714844 -1.813202977180481
1739424888679885784 10.970727920532227 75.55416870117188 -1.8676892518997192
1739424888741480477 10.953158378601074 75.54486846923828 -1.9257521629333496
1739424888802345854 10.950383186340332 75.53720092773438 -1.9803968667984009
1739424888867614870 10.950811386108398 75.52198791503906 -2.038205146789551
1739424888927921132 10.94881820678711 75.51763153076172 -2.0953941345214844
1739424889150168199 10.923406600952148 75.5031967163086 -2.159419059753418
1739424889170397728 10.924541473388672 75.50502014160156 -2.2221055030822754
1739424889231224807 10.938020706176758 75.52169799804688 -2.397617816925049
1739424889311854390 10.941319465637207 75.52501678466797 -2.458430767059326
1739424889352589502 10.865091323852539 75.59848022460938 -2.530369520187378
1739424889412849402 10.862547874450684 75.59933471679688 -2.574502944946289
1739424889474574942 11.007379531860352 75.54442596435547 -2.643101930618286
1739424889535105072 11.038143157958984 75.47364044189453 -2.6745057106018066
1739424889595439401 11.013937950134277 75.46803283691406 -2.7037243843078613
1739424889656867000 10.989259719848633 75.46117401123047 -2.72316837310791
1739424889717141684 10.893216133117676 75.4698486328125 -2.7243001461029053
1739424889777594760 10.85501766204834 75.45672607421875 -2.7330148220062256
1739424889838079420 10.810629844665527 75.44005584716797 -2.7376887798309326
1739424889898407957 10.758075714111328 75.42020416259766 -2.7394840717315674
1739424889958833259 10.709482192993164 75.39904022216797 -2.734999656677246
1739424890039242885 10.66308307647705 75.37857818603516 -2.732868194580078
1739424890080262820 10.61369800567627 75.35580444335938 -2.7348499298095703
1739424890140700317 10.569950103759766 75.317138671875 -2.732116222381592
