time linear_x linear_y linear_z angular_x angular_y angular_z
1739424888022316099 0.0 0.0 0.0 0.0 0.0 -0.05645095556974411
1739424888038985380 0.0 0.0 0.0 0.0 0.0 -0.14486196637153625
1739424888055661540 0.0 0.0 0.0 0.0 0.0 -0.2314167022705078
1739424888072321989 0.0 0.0 0.0 0.0 0.0 -0.28114792704582214
1739424888088986949 0.0 0.0 0.0 0.0 0.0 -0.3695589303970337
1739424888105646534 0.0 0.0 0.0 0.0 0.0 -0.42114636301994324
1739424888122307495 0.0 0.0 0.0 0.0 0.0 -0.42114636301994324
1739424888140021023 0.0 0.0 0.0 0.0 0.0 -0.49483662843704224
1739424888155761220 0.0 0.0 0.0 0.0 0.0 -0.5721963047981262
1739424888172283370 0.0 0.0 0.0 0.0 0.0 -0.6219274997711182
1739424888190967229 0.0 0.0 0.0 0.0 0.0 -0.7342543601989746
1739424888205653801 0.0 0.0 0.0 0.0 0.0 -0.7342543601989746
1739424888222314858 0.0 0.0 0.0 0.0 0.0 -0.7858418822288513
1739424888239009354 0.0 0.0 0.0 0.0 0.0 -0.835573136806488
1739424888255694666 0.0 0.0 0.0 0.0 0.0 -0.8484807014465332
1739424888272334027 0.0 0.0 0.0 0.0 0.0 -0.8853042721748352
1739424888289004588 0.0 0.0 0.0 0.0 0.0 -0.8853042721748352
1739424888305674380 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888322322062 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888338990062 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888355671246 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888372330639 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888388995760 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888405664464 0.0 0.0 0.0 0.0 0.0 -0.8889737129211426
1739424888422996375 0.0 0.0 0.0 0.0 0.0 -0.9000250697135925
1739424888439020721 0.0 0.0 0.0 0.0 0.0 -0.9350355267524719
1739424888455668114 0.0 0.0 0.0 0.0 0.0 -0.9387048482894897
1739424888472339634 0.0 0.0 0.0 0.0 0.0 -0.9387048482894897
1739424888489025138 0.0 0.0 0.0 0.0 0.0 -0.9497562646865845
1739424888505675987 0.0 0.0 0.0 0.0 0.0 -0.962664008140564
1739424888522348628 0.0 0.0 0.0 0.0 0.0 -0.9737153649330139
1739424888539001077 0.0 0.0 0.0 0.0 0.0 -0.9737153649330139
1739424888555673461 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888572343318 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888589000471 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888605663511 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888622346487 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888638989817 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888655835635 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888672326330 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888688984059 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888706237317 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888722313244 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888738986173 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888755617247 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888772314622 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888789206102 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888807432987 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888822313760 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888838999968 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888855657921 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888875149013 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888889000065 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888905666402 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888922353282 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888939009283 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888959297592 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888972896783 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424888988994245 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889005648422 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889022305096 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889038973738 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889055645931 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889072456615 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889088991502 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889105655568 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889122310418 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889138982483 0.0 0.0 0.0 0.0 0.0 -0.9866229295730591
1739424889155664277 0.01655358448624611 0.0 0.0 0.0 0.0 -0.9110764861106873
1739424889172330806 0.13742803037166595 0.0 0.0 0.0 0.0 -0.809800922870636
1739424889188981688 0.13742803037166595 0.0 0.0 0.0 0.0 -0.809800922870636
